ID,Bank branch,Funding type,Funding classification,Customer sector,Funding value,Installement value,Exchange date,Gender,Age,Social status,Special needs,Family members,Saving loan,Income
1,Tabuk,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,< 5000
2,Hail,Project,Solution,NULL,160000,>= 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
3,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
4,Medina,Social,Marriage,Government company employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 10,No,>= 5000
5,Medina,Social,Family,Private sector employee,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,>= 10000
6,Medina,Social,Family,Private sector employee,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,< 5000
7,Medina,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 60,Divorced,No,>= 05,No,>= 7500
8,Medina,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 60,Divorced,No,>= 05,No,>= 10000
9,Medina,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
10,Kharj,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
11,Medina,Social,Family,NULL,60000,< 1000,2019/01,Female,< 30,Divorced,No,>= 02,No,< 5000
12,Medina,Social,Family,NULL,60000,< 1000,2019/01,Female,< 30,Divorced,No,>= 02,No,>= 10000
13,Riyadh,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 60,Married,No,>= 05,No,< 5000
14,Riyadh,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 60,Married,No,>= 05,No,>= 7500
15,Taif,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
16,Tabuk,Social,Family,NULL,30000,< 1000,2019/02,Male,>= 40,Married,No,>= 05,Yes,>= 10000
17,Tabuk,Social,Family,NULL,30000,< 1000,2019/02,Male,>= 40,Married,No,>= 05,Yes,< 5000
18,Medina,Project,Emerging,NULL,155000,>= 1000,2019/02,Male,< 30,Married,No,< 02,No,< 5000
19,Kharj,Social,Family,Government retired,60000,< 1000,2019/01,Male,>= 60,Married,No,>= 05,No,>= 5000
20,Taif,Social,Marriage,Private sector employee,24000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
21,Taif,Social,Marriage,Private sector employee,24000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
22,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 5000
23,Medina,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
24,Kharj,Social,Family,Government retired,60000,< 1000,2019/01,Male,>= 60,Married,No,>= 05,No,>= 10000
25,Medina,Social,Marriage,Government company employee,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 5000
26,Tabuk,Social,Family,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
27,Tabuk,Social,Family,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
28,Riyadh,Social,Family,NULL,48000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
29,Riyadh,Social,Family,NULL,48000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,< 5000
30,Medina,Social,Family,Government employee,42000,< 1000,2019/03,Male,>= 30,Married,No,>= 05,No,>= 10000
31,Medina,Social,Family,Government retired,60000,< 1000,2019/03,Male,>= 40,Married,No,>= 05,No,>= 7500
32,Medina,Social,Family,Government retired,60000,< 1000,2019/03,Male,>= 40,Married,No,>= 05,No,>= 7500
33,Tabuk,Social,Renovation,NULL,60000,>= 1000,2019/02,Female,>= 40,Married,No,>= 10,No,< 5000
34,Tabuk,Social,Renovation,NULL,60000,>= 1000,2019/02,Female,>= 40,Married,No,>= 10,No,< 5000
35,Riyadh,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 30,Divorced,No,>= 02,No,< 5000
36,Riyadh,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 30,Divorced,No,>= 02,No,>= 10000
37,Medina,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
38,Medina,Social,Marriage,Government company employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 7500
39,Riyadh,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
40,Jeddah,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
41,Kharj,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
42,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 02,No,< 5000
43,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 02,No,< 5000
44,Medina,Project,Emerging,NULL,116000,>= 1000,2019/01,Male,< 30,Married,No,< 02,No,< 5000
45,Medina,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 40,Widow,No,>= 05,No,>= 7500
46,Medina,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 40,Widow,No,>= 05,No,< 5000
47,Medina,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 7500
48,Kharj,Social,Renovation,NULL,60000,< 1000,2019/03,Male,< 30,Single,No,>= 05,No,>= 7500
49,Kharj,Social,Renovation,NULL,60000,< 1000,2019/03,Male,< 30,Single,No,>= 05,No,< 5000
